,X.1,OID,g_number,original_g,Area,STATION,STNAME,SHORTNAME,ZONE,EASTING,NORTHING,GRDATUM,LATITUDE,LONGITUDE,LLDATUM,POSACC,ELEV,ELEVACC,FIELD,LAB,ACTIVE,COMMENCED,CEASED,REGION,CATCHAREA,Include,Reason,Basin,Type,Number,DSMajorDiv,OpenDate,CloseDate,Record,NumberFlow,Active_1,F10Yrecord,F3500Readi,OBJECTID,Field1,X,V1,hydroState,StationID,start_EC,end_EC,Q_hrly_ct,Q_hrly_NA,Q_hrly_NA_gap,Q_dly_ct,Q_dly_NA,Q_dly_NA_gap,C_hrly_ct,C_hrly_NA,C_hrly_NA_gap,C_dly_ct,C_dly_NA,C_dly_NA_gap,EC_20,salt_loads,EC_SENS_uscm_mean,TDS,q,p,runoff,
2,4,-1,234201,234201,1155174388,234201,WOADY YALOAK RIVER @ CRESSY (YARIMA),WOADY YALOAK@CRESSY,54,732002,5789557,UTM,-38.01187153,143.6426602,WGS84,9,0,1,Y,Y,1,8/5/1955,NULL,234,1158,Y,NA,234,2,1,NA,8/5/1955,NULL,61.87945205,19520,Y,Y,Y,58,58,X.234201B.,234201B,1,234201,5/14/1993,6/14/2022 23:00,254975,1,1,10623,1,1,253792,1184,602,10560,64,26,1,1,6552.671929,2599.737016,16.23141838,582.5316543,0.022983665,
4,7,-1,235211,235211,269421555,235211,KENNEDYS CREEK @ KENNEDYS CREEK,KENNEDYS @ KENNEDYS,54,696535,5726391,UTM,-38.58909395,143.2565402,WGS84,9,0,1,Y,Y,1,17/06/1964,NULL,235,268,Y,NA,235,2,11,NA,17/06/1964,NULL,52.76164384,19122,Y,Y,Y,66,66,X.235211A.,235211A,1,235211,6/23/1994,5/23/2022 23:00,242191,2537,977,10087,110,42,242587,2141,978,10074,123,42,1,NA,661.0037266,379.3898312,116.5936667,892.3552364,0.122189286,
13,25,-1,406213,406213,637636191.6,406213,CAMPASPE RIVER @ REDESDALE,CAMPASPE @ REDESDALE,55,281169,5900607,UTM,-37.01512226,144.5402949,WGS84,9,0,1,Y,Y,1,1/11/1953,NULL,406,629,Y,NA,406,2,13,NA,1/11/1953,NULL,63.39452055,15022,Y,Y,Y,146,146,X.406213C.,406213C,1,406213,2/20/1991,6/21/2022 23:00,268605,6075,5905,11190,255,247,212254,62426,4922,8154,3291,270,1,1,701.3268688,305.1030598,75.86726861,727.9659491,0.086132553,
14,27,-1,407211,407211,628616790.4,407211,BET BET CREEK @ BET BET,BET BET @ BET BET,54,744672,5910212,UTM,-36.92226552,143.7467637,WGS84,9,0,1,Y,N,1,23/09/1943,NULL,407,635,Y,NA,407,2,11,NA,23/09/1943,NULL,73.50958904,26668,Y,Y,Y,173,173,X.407211B.,407211B,1,407211,3/19/1991,5/23/2022 23:00,255605,17731,6217,10631,758,268,212539,60797,12737,7997,3392,606,1,NA,4938.465421,1827.554207,26.6830286,522.1461661,0.037048797,
22,1,-1,233211,233211,114288844.6,233211,BIRREGURRA CREEK @ RICKETTS MARSH,BIRREGURRA @ RICKETT,54,748217,5757511,UTM,-38.29604249,143.838326,WGS84,9,0,1,Y,Y,1,19/06/1953,NULL,233,87.7,Y,NA,233,2,11,NA,19/06/1953,NULL,63.76438356,23127,Y,Y,Y,32,32,X.233211A.,233211A,1,233211,11/12/1993,6/14/2022 23:00,246423,4185,1329,10259,183,56,132642,117966,15764,3271,7171,685,1,NA,8676.179267,2498.801042,36.82022105,604.3616105,0.052932744,
6,9,-1,236209,236209,8463592358,236209,HOPKINS RIVER @ HOPKINS FALLS,HOPKINS @ HOPKINS F.,54,642039,5755706,UTM,-38.33543732,142.6251911,WGS84,9,0,1,Y,Y,1,23/05/1955,NULL,236,8355,Y,NA,236,2,9,NA,23/05/1955,NULL,61.83835616,22416,Y,Y,Y,75,75,X.236209A.,236209A,1,236209,2/27/1996,6/7/2022 23:00,230352,0,#NAME?,9598,0,#NAME?,220290,10062,2055,9167,431,86,1,NA,4229.313985,1914.01003,15.51438093,586.0560247,0.022883262,
19,2,-1,233223,233223,53869424.43,233223,WARRAMBINE CREEK @ WARRAMBINE,WARRAMBINE @ WARRAMB,54,751925,5798213,UTM,-37.928637,143.8663116,WGS84,9,186,9,Y,N,1,2/6/1970,NULL,233,57,Y,NA,233,2,23,NA,2/6/1970,NULL,46.8,16946,Y,Y,Y,36,36,X.233223A.,233223A,1,233223,8/26/1994,5/29/2022 23:00,238554,4782,4446,9938,201,186,148134,95202,5869,4934,5205,267,1,NA,4712.322045,1818.326565,11.87289995,567.1997411,0.016854871,
26,33,-1,415237,415237,241265780.4,415237,CONCONGELLA CREEK @ STAWELL,CONCONGELLA @STAWELL,54,662048,5900706,UTM,-37.0257429,142.8217764,WGS84,9,207,9,Y,N,1,17/02/1976,NULL,415,239,Y,NA,415,2,37,NA,17/02/1976,NULL,41.08493151,14549,Y,Y,Y,250,250,X.415237A.,415237A,1,415237,5/25/1993,6/20/2022 23:00,254294,562,562,10595,24,24,104705,150151,13089,3012,7607,585,1,NA,4901.15448,1360.939171,18.95757499,511.795283,0.029322547,
9,31,-1,415206,415206,1377046018,415206,WIMMERA RIVER @ GLYNWYLLN,WIMMERA @ GLYNWYLLN,54,665612,5908610,UTM,-36.95390887,142.8600891,WGS84,9,0,1,Y,N,1,5/9/1902,NULL,415,1357,Y,NA,415,2,6,NA,5/9/1902,NULL,114.5863014,22055,Y,Y,Y,247,247,X.415206B.,415206B,1,415206,6/19/1992,6/21/2022 23:00,259696,3344,2656,10819,141,111,240890,22150,5092,9364,1596,236,1,1,3162.219319,1331.070171,28.27767962,545.7111279,0.038809185,
17,30,-1,408202,408202,76539828.93,408202,AVOCA RIVER @ AMPHITHEATRE,AVOCA @ AMPHITHEATRE,54,713544,5882210,UTM,-37.18202767,143.4055621,WGS84,9,0,1,Y,Y,1,1/11/1966,NULL,408,78,Y,NA,408,2,2,NA,1/11/1966,NULL,50.38630137,18214,Y,Y,Y,205,205,X.408202A.,408202A,1,408202,1/15/1997,6/19/2022 23:00,220419,2469,888,9180,107,38,172870,50018,13577,4836,4451,567,1,NA,3536.564949,1249.601475,23.00438634,567.8757578,0.036319743,
